step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_red6,health_red6,action_red6,pos_red7,health_red7,action_red7,pos_red8,health_red8,action_red8,pos_red9,health_red9,action_red9,pos_red10,health_red10,action_red10,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3,pos_blue4,health_blue4,action_blue4,pos_blue5,health_blue5,action_blue5
20,[21.057056    5.0355115   0.41672045],20.0000,0.0000,[21.629864 21.517105  6.22854 ],20.0000,6.0000,[ 20.112503   -12.037115     0.38725197],20.0000,6.0000,[21.497005 38.60079   6.129249],20.0000,6.0000,[ 20.112503   -32.037117     0.38725197],20.0000,6.0000,[41.057056    5.0355115   0.41672045],20.0000,0.0000,[41.629864 21.517105  6.22854 ],20.0000,6.0000,[ 40.112503   -12.037115     0.38725197],20.0000,6.0000,[41.401928   43.430576    0.33536965],20.0000,0.0000,[ 40.112503   -32.037117     0.38725197],20.0000,6.0000,[103.93261    51.23498     0.6856384],20.0000,4.0000,[136.85316     50.52468      0.48838836],20.0000,3.0000,[127.453575   35.18296     0.4126181],20.0000,4.0000,[98.76509   18.655607   6.0680037],20.0000,4.0000,[129.4171    -43.120052    5.7966647],20.0000,4.0000
21,[22.066057    5.452795    0.12415552],20.0000,6.0000,[22.721714   21.492722    0.03270354],20.0000,6.0000,[ 21.12269   -11.623581    0.6042741],20.0000,0.0000,[22.577787  38.44719    0.0666547],20.0000,0.0000,[ 21.12269   -31.62358     0.6042741],20.0000,0.0000,[42.066055    5.452795    0.12415552],20.0000,6.0000,[4.2721714e+01 2.1492722e+01 3.2703541e-02],20.0000,6.0000,[ 41.122692  -11.623581    0.6042741],20.0000,0.0000,[4.2441273e+01 4.3765141e+01 4.2933684e-02],20.0000,6.0000,[ 41.122692  -31.62358     0.6042741],20.0000,0.0000,[104.34595    51.64386     0.7020377],20.0000,4.0000,[137.31735     50.884636     0.36240798],20.0000,4.0000,[127.96424    35.45978     0.4233757],20.0000,4.0000,[99.33056   18.532015   6.0680037],20.0000,4.0000,[129.87125   -43.49942     5.7977357],20.0000,4.0000
22,[23.14497     5.621932    0.21125855],20.0000,6.0000,[23.812386   21.537489    0.25182143],20.0000,0.0000,[ 22.039953   -11.030928     0.31065485],20.0000,6.0000,[23.668413  38.49746    6.0581484],20.0000,6.0000,[ 22.039953   -31.030928     0.31065485],20.0000,6.0000,[43.14497     5.621932    0.21125855],20.0000,6.0000,[43.812386   21.537489    0.25182143],20.0000,0.0000,[ 42.03995    -11.030928     0.31065485],20.0000,6.0000,[43.530327   43.846775    0.13017352],20.0000,6.0000,[ 42.03995    -31.030928     0.31065485],20.0000,6.0000,[104.75778     52.053215     0.71530294],20.0000,4.0000,[137.81885     51.194546     0.33845916],20.0000,4.0000,[128.47441     35.736446     0.43315044],20.0000,4.0000,[99.89601   18.408428   6.0680037],20.0000,4.0000,[130.33528   -43.860275    5.7669015],20.0000,4.0000
23,[24.210537    5.8588285   0.43011877],20.0000,0.0000,[24.876158  21.783638   6.2424717],20.0000,6.0000,[ 23.070513   -10.670021     0.39640358],20.0000,0.0000,[24.740908  38.29086    6.1460967],20.0000,6.0000,[ 23.070513   -30.670021     0.39640358],20.0000,6.0000,[44.210537    5.8588285   0.43011877],20.0000,0.0000,[44.87616   21.783638   6.2424717],20.0000,6.0000,[ 43.07051    -10.670021     0.39640358],20.0000,0.0000,[44.611515  43.997078   0.3491764],20.0000,0.0000,[ 43.07051    -30.670021     0.39640358],20.0000,6.0000,[105.16831     52.46318      0.72560316],20.0000,4.0000,[138.3318      51.48046      0.35544777],20.0000,4.0000,[128.98401     36.013393     0.44133767],20.0000,4.0000,[100.46144    18.284843    6.0680037],20.0000,4.0000,[130.79834   -44.216953    5.7326975],20.0000,4.0000
24,[25.214113    6.289033    0.13744208],20.0000,6.0000,[25.968204   21.773544    0.04642123],20.0000,6.0000,[ 24.069208  -10.228947    0.0633994],20.0000,6.0000,[25.823763   38.152874    0.08268557],20.0000,0.0000,[ 24.076094   -30.245396     0.61395127],20.0000,0.0000,[45.214115    6.289033    0.13744208],20.0000,6.0000,[45.968204   21.773544    0.04642123],20.0000,6.0000,[ 44.069206  -10.228947    0.0633994],20.0000,6.0000,[45.646442   44.345135    0.05657783],20.0000,6.0000,[ 44.07609    -30.245396     0.61395127],20.0000,0.0000,[105.57788    52.873627    0.7335639],20.0000,4.0000,[138.84586     51.758762     0.38296434],20.0000,4.0000,[129.49313     36.290676     0.44801047],20.0000,4.0000,[101.02686    18.161263    6.0680037],20.0000,4.0000,[131.25766   -44.57501     5.7050467],20.0000,4.0000
25,[26.290756    6.4719706   0.22442253],20.0000,6.0000,[27.058197  21.832493   0.2653146],20.0000,0.0000,[ 25.152895   -10.070415     0.14486298],20.0000,6.0000,[26.913631  38.218357   6.0737047],20.0000,6.0000,[ 24.986536   -29.642418     0.32058844],20.0000,6.0000,[46.290756    6.4719706   0.22442253],20.0000,6.0000,[47.058197  21.832493   0.2653146],20.0000,0.0000,[ 45.152893   -10.070415     0.14486298],20.0000,6.0000,[46.73432    44.440876    0.14364433],20.0000,6.0000,[ 44.986538   -29.642418     0.32058844],20.0000,6.0000,[105.98682    53.28439     0.7397948],20.0000,4.0000,[139.35782    52.036785    0.4081955],20.0000,4.0000,[130.00188     36.568214     0.45343387],20.0000,4.0000,[101.59228    18.037682    6.0680037],20.0000,4.0000,[131.71352   -44.93549     5.6849303],20.0000,4.0000
26,[27.35321     6.7224436   0.44315654],20.0000,0.0000,[28.118727  22.09232    6.2558413],20.0000,6.0000,[26.225048   -9.858241    0.37630507],20.0000,0.0000,[27.988806  38.026577   6.1612163],20.0000,6.0000,[ 26.012978  -29.269838    0.4067153],20.0000,6.0000,[47.35321     6.7224436   0.44315654],20.0000,0.0000,[48.11873   22.09232    6.2558413],20.0000,6.0000,[46.225048   -9.858241    0.37630507],20.0000,0.0000,[47.81348    44.605106    0.36246678],20.0000,0.0000,[ 46.012978  -29.269838    0.4067153],20.0000,6.0000,[106.395325    53.69533      0.74476856],20.0000,4.0000,[139.86732    52.316696    0.4278464],20.0000,4.0000,[130.51038    36.845917    0.4578797],20.0000,4.0000,[102.15769    17.914103    6.0680037],20.0000,4.0000,[132.16689  -45.297943   5.670683],20.0000,4.0000
27,[28.35126     7.165346    0.15041131],20.0000,6.0000,[29.210796   22.096252    0.05965656],20.0000,6.0000,[27.236065   -9.446586    0.09490615],20.0000,6.0000,[29.073427   37.903374    0.09732289],20.0000,0.0000,[ 27.013613   -28.833673     0.62461203],20.0000,0.0000,[48.351257    7.165346    0.15041131],20.0000,6.0000,[49.210796   22.096252    0.05965656],20.0000,6.0000,[47.236065   -9.446586    0.09490615],20.0000,6.0000,[48.843884   44.966377    0.06976954],20.0000,6.0000,[ 47.01361    -28.833673     0.62461203],20.0000,0.0000,[106.80357     54.106354     0.74882317],20.0000,4.0000,[140.37488     52.598557     0.44234118],20.0000,4.0000,[131.01869     37.1237       0.46157202],20.0000,4.0000,[102.7231     17.790524    6.0680037],20.0000,4.0000,[132.61862  -45.66171    5.660476],20.0000,4.0000
28,[29.425488    7.3619065   0.23731458],20.0000,6.0000,[30.299942   22.16914     0.27841118],20.0000,0.0000,[28.31634    -9.276256    0.18810652],20.0000,6.0000,[30.162357 37.98341   6.08807 ],20.0000,6.0000,[ 27.916899   -28.220085     0.33142555],20.0000,6.0000,[49.425488    7.3619065   0.23731458],20.0000,6.0000,[50.299942   22.16914     0.27841118],20.0000,0.0000,[48.316338   -9.276256    0.18810652],20.0000,6.0000,[49.93044    45.075996    0.15672699],20.0000,6.0000,[ 47.9169     -28.220085     0.33142555],20.0000,6.0000,[107.21167     54.517395     0.75219345],20.0000,4.0000,[140.88109    52.881855    0.4529699],20.0000,4.0000,[131.52692     37.4015       0.46468166],20.0000,4.0000,[103.288506   17.666945    6.0680037],20.0000,4.0000,[133.06937  -46.026264   5.652946],20.0000,4.0000
29,[30.48469     7.625787    0.45596996],20.0000,0.0000,[31.357096  22.442425   6.2688622],20.0000,6.0000,[29.382093   -9.037761    0.41642925],20.0000,0.0000,[31.239944 37.805923  6.175307],20.0000,6.0000,[ 28.938923 -27.835478   0.417791],20.0000,6.0000,[50.48469     7.625787    0.45596996],20.0000,0.0000,[51.357094  22.442425   6.2688622],20.0000,6.0000,[49.38209    -9.037761    0.41642925],20.0000,0.0000,[51.007416  45.253944   0.3754375],20.0000,0.0000,[ 48.938923 -27.835478   0.417791],20.0000,6.0000,[107.619675   54.928417    0.7550427],20.0000,4.0000,[141.38641    53.16608     0.4609039],20.0000,4.0000,[132.03506    37.679287    0.4673352],20.0000,4.0000,[103.853905   17.543367    6.0680037],20.0000,4.0000,[133.51949 -46.39126   5.64719],20.0000,4.0000
