step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2
32,[18.20253  60.979446  5.974275],20.0000,0.0000,[33.628845    8.186062    0.27510014],20.0000,6.0000,[ 34.131035 -41.076347   1.07811 ],20.0000,6.0000,[ 58.28079 -40.        0.     ],20.0000,4.0000,[58.28079 40.       0.     ],20.0000,4.0000
33,[19.273573 60.745224  5.688252],20.0000,6.0000,[34.677345    8.489685    0.49373144],20.0000,0.0000,[ 34.816315  -40.205334    1.2682157],20.0000,6.0000,[ 58.85954 -40.        0.     ],20.0000,4.0000,[58.85954 40.       0.     ],20.0000,4.0000
34,[20.258978 60.25374   5.802312],20.0000,6.0000,[35.65188     8.982197    0.20093079],20.0000,6.0000,[ 35.323963  -39.220303    1.4429396],20.0000,6.0000,[ 59.43829 -40.        0.     ],20.0000,4.0000,[59.43829 40.       0.     ],20.0000,4.0000
35,[21.266987  59.825985   6.0717096],20.0000,0.0000,[36.714863    9.232489    0.28777054],20.0000,6.0000,[ 35.64876   -38.161522    1.6135955],20.0000,6.0000,[ 60.017036 -40.         0.      ],20.0000,4.0000,[60.017036 40.        0.      ],20.0000,5.0000
36,[22.339973  59.623646   5.8108864],20.0000,6.0000,[37.75947    9.549236   0.5063616],20.0000,0.0000,[ 35.785984  -37.06309     1.7859055],20.0000,6.0000,[ 60.595787 -40.         0.      ],20.0000,4.0000,[60.595787   39.99703     0.09175865],20.0000,4.0000
37,[23.347088  59.19569    5.9110723],20.0000,6.0000,[38.727768   10.053908    0.21353938],20.0000,6.0000,[ 35.731567 -35.957676   1.960931],20.0000,6.0000,[ 61.174534 -40.         0.      ],20.0000,4.0000,[61.174072   40.028606    0.12537725],20.0000,4.0000
38,[24.378992  58.837395   6.1448393],20.0000,0.0000,[39.787537   10.317479    0.30035406],20.0000,6.0000,[ 35.485397  -34.878666    2.1377146],20.0000,6.0000,[ 61.753284 -40.         0.      ],20.0000,4.0000,[61.751667   40.07411     0.13682085],20.0000,4.0000
39,[25.459984 58.685917  5.860981],20.0000,6.0000,[40.828106  10.64726    0.5189199],20.0000,0.0000,[ 35.053596 -33.85958    2.315105],20.0000,6.0000,[ 62.33203 -40.        0.     ],20.0000,4.0000,[62.328793   40.12555     0.13925338],20.0000,4.0000
40,[26.478642  58.28973    5.9529533],20.0000,6.0000,[41.790024   11.163984    0.22608413],20.0000,6.0000,[ 34.448986  -32.932457    2.4924333],20.0000,6.0000,[ 62.910778 -40.         0.      ],20.0000,4.0000,[62.905632   40.179535    0.13813147],20.0000,4.0000
41,[27.51965   57.960384   6.1779027],20.0000,6.0000,[42.846416   11.440763    0.31288305],20.0000,6.0000,[ 33.69041  -32.126396   2.669507],20.0000,6.0000,[ 63.48953 -40.        0.     ],20.0000,3.0000,[63.48229    40.234608    0.13577133],20.0000,4.0000
42,[28.601974   57.81555     0.15626176],20.0000,6.0000,[43.88279    11.783502    0.53143305],20.0000,0.0000,[ 32.801727  -31.466528    2.8463824],20.0000,6.0000,[ 64.068275  -39.99703     6.1914268],20.0000,4.0000,[64.05883    40.29014     0.13313591],20.0000,4.0000
43,[29.694508   57.894783    0.42290926],20.0000,6.0000,[44.838192   12.31218     0.23858875],20.0000,6.0000,[ 31.810793  -30.973347    3.0231726],20.0000,6.0000,[ 64.64657  -40.028606   6.157808],20.0000,4.0000,[64.63528    40.34588     0.13060023],20.0000,4.0000
44,[30.749107   58.21121     0.67511016],20.0000,6.0000,[45.891052   12.602105    0.32537773],20.0000,6.0000,[ 30.748566 -30.662163   3.199955],20.0000,0.0000,[ 65.22416   -40.07411     6.1463647],20.0000,4.0000,[65.21166    40.401733    0.12828788],20.0000,4.0000
