step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_red6,health_red6,action_red6,pos_red7,health_red7,action_red7,pos_red8,health_red8,action_red8,pos_red9,health_red9,action_red9,pos_red10,health_red10,action_red10,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3,pos_blue4,health_blue4,action_blue4,pos_blue5,health_blue5,action_blue5,pos_blue6,health_blue6,action_blue6,pos_blue7,health_blue7,action_blue7,pos_blue8,health_blue8,action_blue8,pos_blue9,health_blue9,action_blue9,pos_blue10,health_blue10,action_blue10,pos_blue11,health_blue11,action_blue11,pos_blue12,health_blue12,action_blue12,pos_blue13,health_blue13,action_blue13,pos_blue14,health_blue14,action_blue14,pos_blue15,health_blue15,action_blue15,pos_blue16,health_blue16,action_blue16,pos_blue17,health_blue17,action_blue17,pos_blue18,health_blue18,action_blue18,pos_blue19,health_blue19,action_blue19,pos_blue20,health_blue20,action_blue20
530,[ 218.25183  -198.66197     4.237056],20.0000,6.0000,[ -0.29709843 -88.87202      3.3483098 ],20.0000,6.0000,[ 245.68394  -219.02069     4.471203],20.0000,6.0000,[75.635544 24.037659  5.64127 ],20.0000,6.0000,[290.90137   -67.2472      3.6720967],20.0000,6.0000,[ 262.19916   -125.52025      4.7414017],20.0000,6.0000,[ 229.40126  -154.4735      4.595649],20.0000,6.0000,[239.96568  -95.78135    5.103509],20.0000,6.0000,[129.6264   132.29147    4.524187],20.0000,0.0000,[261.87866   -16.817305    3.7539687],20.0000,6.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[ -1.1588004 -92.88786     4.499883 ],20.0000,6.0000,[ 132.20126   -189.0398       3.9653113],20.0000,3.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[76.23356    6.5164514  5.139167 ],20.0000,4.0000,[ 35.53446   -44.90431     0.8824871],20.0000,4.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 106.88958   -216.00212      0.7238185],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[111.64807  126.194664   3.895246],20.0000,3.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
531,[ 217.58916 -199.54854    4.41389],20.0000,6.0000,[ -1.4042722 -88.91075     3.544398 ],20.0000,6.0000,[ 245.24504   -220.03683      4.6480365],20.0000,6.0000,[76.59483  23.497833  5.747426],20.0000,6.0000,[289.867     -67.64122     3.8489306],20.0000,6.0000,[ 262.0474    -126.61667      4.9182396],20.0000,6.0000,[ 229.09189  -155.53624     4.772483],20.0000,6.0000,[240.21217   -96.86043     5.2802997],20.0000,6.0000,[129.51314   131.20186     4.2217975],20.0000,6.0000,[260.87997   -17.294598    3.9308028],20.0000,6.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[ -1.4896783 -93.40854     4.6590157],20.0000,6.0000,[ 131.92307   -189.57098      3.9041674],20.0000,3.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[76.54614    6.022818   5.1496706],20.0000,3.0000,[ 35.907997  -44.46218     0.8819714],20.0000,4.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 107.336754   -215.63414       0.72119534],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[111.27365  125.7479     3.819213],20.0000,4.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
532,[ 217.09277   -200.53787      4.5907235],20.0000,6.0000,[ -2.483382  -89.16282     3.7227168],20.0000,6.0000,[ 244.99174   -221.11432      4.8248706],20.0000,6.0000,[77.5777    23.015154   6.0121827],20.0000,0.0000,[288.91806   -68.21105     4.0257645],20.0000,6.0000,[ 262.0909   -127.72268     5.095078],20.0000,6.0000,[ 228.97429   -156.63684      4.9493165],20.0000,6.0000,[240.6446    -97.879326    5.4571133],20.0000,6.0000,[129.12402   130.1722      4.3278704],20.0000,0.0000,[259.98083   -17.940126    4.1076365],20.0000,6.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[ -1.715431  -93.97605     4.8071065],20.0000,6.0000,[ 131.60117   -190.07184      3.8395262],20.0000,3.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[76.85608    5.5288396  5.0759544],20.0000,3.0000,[ 36.28148    -44.020008     0.88149196],20.0000,4.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 107.78387    -215.26617       0.71893483],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[110.87137   125.32468     3.8017564],20.0000,3.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
533,[ 216.77817   -201.59908      4.7675576],20.0000,6.0000,[ -3.4989545 -89.604904    3.8944168],20.0000,6.0000,[ 244.93193  -222.21957     5.001704],20.0000,6.0000,[78.63699  22.750223  5.749978],20.0000,6.0000,[288.0842    -68.938934    4.2025986],20.0000,6.0000,[ 262.32828   -128.80379      5.2719145],20.0000,6.0000,[ 229.05212   -157.74097      5.1261506],20.0000,6.0000,[241.24951  -98.80628    5.633944],20.0000,0.0000,[128.81145   129.12115     4.0420012],20.0000,6.0000,[259.2093    -18.73376     4.2844706],20.0000,6.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[ -1.8431965 -94.56955     4.9664283],20.0000,6.0000,[ 131.24109   -190.54314      3.7637055],20.0000,3.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[77.13819   5.016955  4.968142],20.0000,4.0000,[ 36.6549    -43.577793    0.8810454],20.0000,4.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 108.23092    -214.89821       0.71696424],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[110.46019   124.910545    3.7163458],20.0000,4.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
534,[ 216.65514   -202.6991       4.9443913],20.0000,6.0000,[ -4.4218726 -90.21635     4.066421 ],20.0000,6.0000,[ 245.06749   -223.31812      5.1785383],20.0000,6.0000,[79.61678  22.262766  5.849918],20.0000,0.0000,[287.39136  -69.80215    4.379432],20.0000,6.0000,[ 262.75217  -129.82628     5.448749],20.0000,6.0000,[ 229.32298  -158.8142      5.302984],20.0000,6.0000,[242.01883 -99.59816   5.26023],20.0000,6.0000,[128.2482   128.1747     4.156941],20.0000,0.0000,[258.5894   -19.650745   4.461304],20.0000,6.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[ -1.8714185 -95.17481     5.138009 ],20.0000,5.0000,[ 130.84378   -190.98221      3.6785643],20.0000,3.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[77.37548    4.480794   4.9434733],20.0000,4.0000,[ 37.028263  -43.135536    0.8806287],20.0000,4.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 108.6779     -214.53021       0.71523017],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[110.02002   124.525536    3.6972113],20.0000,4.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
535,[ 216.72754   -203.80359      5.1212254],20.0000,6.0000,[ -5.225175  -90.977745    4.2408476],20.0000,6.0000,[ 245.39417  -224.37567     5.355372],20.0000,6.0000,[80.63276   21.85915    5.5334272],20.0000,6.0000,[286.8612    -70.77378     4.5562663],20.0000,6.0000,[ 263.34927   -130.75827      5.6255827],20.0000,6.0000,[ 229.77841   -159.82301      5.4798183],20.0000,6.0000,[ 242.54753   -100.55427      5.2697706],20.0000,6.0000,[127.7623    127.19158     3.8769386],20.0000,6.0000,[258.14044   -20.662483    4.6381383],20.0000,6.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[ -1.793716  -95.77503     5.2243686],20.0000,5.0000,[ 130.41003   -191.38503      3.5879533],20.0000,3.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[77.591934   3.9371712  4.952776 ],20.0000,3.0000,[ 37.401573  -42.693237    0.8802393],20.0000,4.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 109.12481    -214.16217       0.71369237],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[109.56912   124.154564    3.7049956],20.0000,3.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
536,[ 216.99312  -204.87813     5.298059],20.0000,6.0000,[ -5.8838134 -91.867165    4.417222 ],20.0000,6.0000,[ 245.9018   -225.35927     5.532206],20.0000,6.0000,[81.51313   21.202837   5.6258583],20.0000,0.0000,[286.51022 -71.82353   4.7331 ],20.0000,6.0000,[ 264.10104  -131.57066     5.802416],20.0000,6.0000,[ 230.4042   -160.73601     5.656652],20.0000,6.0000,[ 243.08188  -101.50744     5.451834],20.0000,6.0000,[127.05075   126.35104     3.9938226],20.0000,0.0000,[257.87646  -21.737415   4.814972],20.0000,6.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[ -1.6470743 -96.3565      5.28467  ],20.0000,5.0000,[ 129.94182   -191.74733      3.4949374],20.0000,3.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[77.80403    3.3932781  4.8806033],20.0000,4.0000,[ 37.774834  -42.250896    0.8798749],20.0000,4.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 109.57164   -213.79407      0.7123195],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[109.11712  123.78642    3.629291],20.0000,4.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
537,[ 217.44357  -205.88919     5.474893],20.0000,6.0000,[ -6.3763967 -92.85829     4.5944595],20.0000,6.0000,[ 246.57454   -226.23824      5.7090397],20.0000,6.0000,[82.4338    20.60918    5.3234487],20.0000,6.0000,[286.34937  -72.91865    4.909934],20.0000,6.0000,[ 264.984     -132.23816      5.9792495],20.0000,6.0000,[ 231.18085  -161.52466     5.833486],20.0000,6.0000,[ 243.75026  -102.37521     5.692241],20.0000,6.0000,[126.410995  125.46044     3.7141042],20.0000,6.0000,[257.80573  -22.84202    4.991806],20.0000,0.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[ -1.4511178 -96.9187      5.3488955],20.0000,5.0000,[ 129.44225   -192.06534      3.4013104],20.0000,3.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[77.98207    2.8364792  4.866585 ],20.0000,3.0000,[ 38.148045  -41.80852     0.8795333],20.0000,4.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 110.0184     -213.42592       0.71108687],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[108.64224   123.44661     3.6120315],20.0000,4.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
538,[ 218.06487   -206.80524      5.6517267],20.0000,6.0000,[ -6.6868415 -93.92069     4.7717924],20.0000,6.0000,[ 247.39142  -226.98514     5.885874],20.0000,6.0000,[83.17628  19.796566  5.429509],20.0000,6.0000,[286.38367   -74.02499     5.0867677],20.0000,6.0000,[ 265.9706    -132.73991      6.1560836],20.0000,6.0000,[ 232.08412 -162.1644     6.01032],20.0000,6.0000,[ 244.58022   -103.097374     5.9377003],20.0000,6.0000,[125.57221  124.74697    3.830696],20.0000,6.0000,[257.94754   -23.936926    4.6180882],20.0000,6.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[ -1.2113066 -97.46113     5.424602 ],20.0000,5.0000,[ 128.91531   -192.33592      3.3078763],20.0000,4.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[78.14812    2.2765896  4.7840333],20.0000,4.0000,[ 38.521206  -41.366108    0.8792127],20.0000,4.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 110.46509    -213.05771       0.70997465],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[108.15904  123.12002    3.618506],20.0000,4.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
539,[ 218.8376   -207.59772     5.828561],20.0000,6.0000,[ -6.805207  -95.02122     4.9489202],20.0000,6.0000,[ 248.32695  -227.5767      6.062708],20.0000,6.0000,[83.958984  19.030817   5.6941824],20.0000,0.0000,[286.61206  -75.10803    5.263602],20.0000,6.0000,[ 2.6703012e+02 -1.3306029e+02  4.9731962e-02],20.0000,6.0000,[ 233.08583  -162.63527     6.187154],20.0000,6.0000,[ 245.54918   -103.628426     6.1633735],20.0000,6.0000,[124.78473   123.98615     4.1010184],20.0000,0.0000,[257.7983    -25.019236    4.6276245],20.0000,6.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[ -0.92783934 -97.981        5.509767  ],20.0000,5.0000,[ 128.36502   -192.55365      3.3066096],20.0000,4.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[78.27506    1.7054633  4.766866 ],20.0000,4.0000,[ 38.89432   -40.923656    0.8789114],20.0000,4.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 110.911705  -212.68944      0.7089666],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[107.67376  122.79845    3.632448],20.0000,3.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
540,[ 219.73772   -208.2419       6.0053945],20.0000,6.0000,[ -6.7278686 -96.12539     5.125841 ],20.0000,6.0000,[ 249.35194   -227.99446      6.2395415],20.0000,6.0000,[84.88233   18.447958   5.4319415],20.0000,6.0000,[287.02744   -76.13401     5.4404354],20.0000,6.0000,[ 2.6812943e+02 -1.3318929e+02  2.2656590e-01],20.0000,6.0000,[ 2.3415477e+02 -1.6292258e+02  8.0802441e-02],20.0000,6.0000,[ 2.4661043e+02 -1.0394561e+02  7.9563305e-02],20.0000,6.0000,[124.18011   123.07696     3.8402498],20.0000,6.0000,[257.65536  -26.102575   4.809686],20.0000,6.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[ -0.600476 -98.47415    5.60044 ],20.0000,5.0000,[ 127.811066  -192.75043      3.3376744],20.0000,4.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[78.38487    1.1318429  4.7760406],20.0000,3.0000,[ 39.26739   -40.481174    0.8786279],20.0000,4.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 111.35825    -212.3211        0.70804936],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[107.19016   122.47545     3.5550044],20.0000,4.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
541,[ 220.7371    -208.7177       6.1822286],20.0000,6.0000,[ -6.457393  -97.198715    5.3026524],20.0000,0.0000,[ 2.5043445e+02 -2.2822540e+02  1.3319016e-01],20.0000,6.0000,[85.66056  17.678566  5.531871],20.0000,0.0000,[287.6168    -77.07092     5.6172695],20.0000,6.0000,[ 269.2343    -133.1229       0.4033998],20.0000,6.0000,[ 235.25757    -163.01736       0.25763634],20.0000,6.0000,[ 247.71373   -104.049446     0.2597775],20.0000,6.0000,[123.393486  122.31632     3.9403694],20.0000,0.0000,[257.67087  -27.197802   5.050092],20.0000,6.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[ -0.23010066 -98.93601      5.693512  ],20.0000,5.0000,[ 127.25936   -192.94351      3.3721614],20.0000,3.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[78.49197    0.5587458  4.701223 ],20.0000,4.0000,[ 39.64042    -40.038654     0.87836087],20.0000,4.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 111.80473   -211.95271      0.7072117],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[106.68722   122.1813      3.5337372],20.0000,4.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
542,[ 2.2180460e+02 -2.0901025e+02  7.5877130e-02],20.0000,6.0000,[ -5.9875064 -98.197784    4.9288855],20.0000,0.0000,[ 251.54071    -228.26231       0.31002405],20.0000,6.0000,[86.499374 16.977488  5.215378],20.0000,6.0000,[288.3618    -77.88955     5.7941036],20.0000,6.0000,[ 270.31027   -132.86317      0.5802337],20.0000,6.0000,[ 236.35985   -162.91667      0.4344702],20.0000,6.0000,[ 248.81706    -103.95121       0.43199173],20.0000,6.0000,[122.674164  121.49321     3.6233728],20.0000,6.0000,[257.90298   -28.273186    5.2955513],20.0000,0.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[  0.18113124 -99.36214      5.787175  ],20.0000,5.0000,[ 126.71148   -193.14201      3.3082616],20.0000,4.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[ 7.8563461e+01 -2.0837177e-02  4.6844425e+00],20.0000,3.0000,[ 40.01341   -39.596104    0.8781091],20.0000,8.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 112.25115    -211.58426       0.70644426],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[106.177055  121.9005      3.5356307],20.0000,3.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
543,[ 222.90692    -209.11047       0.25271103],20.0000,6.0000,[ -5.781186  -99.27005     4.3878407],20.0000,6.0000,[ 252.6362     -228.10405       0.48685792],20.0000,6.0000,[87.130356 16.078789  5.30781 ],20.0000,6.0000,[289.23917   -78.56436     5.9709373],20.0000,6.0000,[ 271.32376   -132.41821      0.7570676],20.0000,6.0000,[ 237.42723   -162.62364      0.6113041],20.0000,6.0000,[ 249.88586   -103.66236      0.6038044],20.0000,6.0000,[121.76179   120.88238     3.7153223],20.0000,6.0000,[258.3758    -29.26897     4.9706726],20.0000,6.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[  0.63008183 -99.74855      5.8806276 ],20.0000,5.0000,[ 126.152985  -193.31075      3.2946794],20.0000,4.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[78.62245   -0.6014608  4.59943  ],20.0000,4.0000,[ 40.395504 -39.161114   1.244906],20.0000,7.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 112.6975   -211.21573     0.705739],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[105.66593   121.62232     3.4538918],20.0000,4.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
544,[ 224.00969   -209.01521      0.4295449],20.0000,6.0000,[  -6.0337567 -100.336754     4.4258494],20.0000,6.0000,[ 253.68677   -227.75552      0.6636918],20.0000,6.0000,[87.80444   15.217001   5.5559545],20.0000,0.0000,[290.22156   -79.0743      6.1477714],20.0000,6.0000,[ 272.2432    -131.80191      0.9339015],20.0000,6.0000,[ 238.4264   -162.14742     0.788138],20.0000,6.0000,[ 250.88847    -103.19347       0.77790135],20.0000,6.0000,[120.88523  120.22768    3.962779],20.0000,0.0000,[258.6036   -30.337786   4.999829],20.0000,6.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[   1.1129616 -100.09178      5.97366  ],20.0000,4.0000,[ 125.59141   -193.46642      3.3013422],20.0000,4.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[78.64063   -1.1859838  4.5805025],20.0000,4.0000,[ 40.68363   -38.647583    1.6303216],20.0000,7.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 113.14379   -210.84715      0.7050893],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[105.1371    121.37661     3.4320314],20.0000,4.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
545,[ 225.07849   -208.72745      0.6063788],20.0000,6.0000,[  -6.2724514 -101.40437      4.645547 ],20.0000,6.0000,[ 254.65964   -227.22765      0.8405257],20.0000,6.0000,[88.63524   14.508625   5.2849584],20.0000,6.0000,[ 2.9127835e+02 -7.9403473e+01  4.1419767e-02],20.0000,6.0000,[ 273.03986   -131.0335       1.1107354],20.0000,6.0000,[ 239.32623   -161.50285      0.9649719],20.0000,6.0000,[ 251.79433   -102.55762      0.9540586],20.0000,6.0000,[120.158195 119.41317    3.69138 ],20.0000,6.0000,[258.85568  -31.40152    5.188049],20.0000,6.0000,[185.01015    56.93495     0.5402901],20.0000,,[152.84583   -42.003426    1.3045782],20.0000,,[272.43677  -44.687767   3.92357 ],20.0000,,[   1.6264807 -100.38604      5.974571 ],20.0000,4.0000,[ 125.02953   -193.61746      3.3142464],20.0000,4.0000,[261.5961    -28.776712    5.0221066],20.0000,,[249.88011  -21.746874   6.111589],20.0000,,[197.28278    74.90736     6.2473903],20.0000,,[153.66245     34.75799      0.73928154],20.0000,,[107.06084    52.300247    0.4546819],20.0000,,[1.7408633e+02 3.6363685e+00 1.6255002e-01],20.0000,,[78.64122   -1.7698802  4.5883975],20.0000,3.0000,[ 40.83907   -38.058544    1.9952945],20.0000,6.0000,[ 232.04636   -206.81113      4.3931766],20.0000,,[ 113.59003    -210.47852       0.70448905],20.0000,4.0000,[151.62071     49.16667      0.33746323],20.0000,,[104.60204  121.145805   3.434843],20.0000,3.0000,[230.98833    -7.9395933   1.0469296],20.0000,,[156.3295     34.900764    1.1105382],20.0000,,[128.65317     -2.4248073    0.17488751],20.0000,
