step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3
34,[36.128906   6.8073297  0.2881399],20.0000,0.0000,[36.79833  20.470581  6.103136],20.0000,6.0000,[ 35.961224   -12.693613     0.28631645],20.0000,0.0000,[36.676624  43.35445    6.1856747],20.0000,6.0000,[ 34.77902    -28.036787     0.25085175],20.0000,0.0000,[188.10313  -45.624527   5.287119],20.0000,4.0000,[116.45066    -23.82846      0.13249063],20.0000,4.0000,[116.46219     -5.4332557    0.21976134],20.0000,4.0000
35,[37.181065   7.0986066  6.2802687],20.0000,6.0000,[37.879456 20.314777  6.191613],20.0000,0.0000,[ 37.013866  -12.404109    6.2784824],20.0000,6.0000,[37.76691   43.288223   6.2741327],20.0000,0.0000,[ 35.828762  -27.736004    6.2037706],20.0000,6.0000,[188.41774  -46.110294   5.287119],20.0000,4.0000,[ 1.1701926e+02 -2.3713911e+01  1.0088632e-01],20.0000,4.0000,[117.01613     -5.258327     0.21414262],20.0000,4.0000
36,[38.272728    7.135704    0.08555167],20.0000,0.0000,[38.969284 20.245947  5.861448],20.0000,6.0000,[ 38.1056     -12.368831     0.08379406],20.0000,0.0000,[38.8587    43.30938    5.9439435],20.0000,6.0000,[ 3.6924614e+01 -2.7725357e+01  3.8878229e-03],20.0000,6.0000,[188.73236  -46.596058   5.287119],20.0000,4.0000,[ 1.17590836e+02 -2.36138763e+01  9.24865976e-02],20.0000,4.0000,[117.5717     -5.089543    0.2177803],20.0000,4.0000
37,[39.357635  7.259942  6.038561],20.0000,6.0000,[40.005234 19.888369  5.944821],20.0000,6.0000,[ 39.190712 -12.246391   6.036837],20.0000,6.0000,[39.92057   43.038322   6.0273004],20.0000,6.0000,[ 38.015923   -27.660292     0.23905136],20.0000,0.0000,[189.04697  -47.081825   5.287119],20.0000,4.0000,[ 1.18163376e+02 -2.35201416e+01  9.34887305e-02],20.0000,4.0000,[118.127625    -4.9231224    0.22438362],20.0000,4.0000
38,[40.440372   7.0904527  6.1219263],20.0000,6.0000,[41.055145  19.583578   6.1801157],20.0000,6.0000,[ 40.27318   -12.417661    6.1202264],20.0000,6.0000,[40.992012  42.821026   6.2625647],20.0000,0.0000,[ 39.07286  -27.387169   6.243385],20.0000,6.0000,[189.36159  -47.567593   5.287119],20.0000,4.0000,[ 1.18736115e+02 -2.34289761e+01  9.78613272e-02],20.0000,4.0000,[118.68343    -4.7574196   0.231289 ],20.0000,4.0000
39,[41.527557    6.9753857   0.07402202],20.0000,0.0000,[42.140633   19.468664    0.16871828],20.0000,0.0000,[ 41.360176   -12.534514     0.07236608],20.0000,6.0000,[42.08365   42.8137     5.9837804],20.0000,6.0000,[ 40.16634    -27.360535     0.05434593],20.0000,6.0000,[189.6762   -48.05336    5.287119],20.0000,4.0000,[ 1.1930879e+02 -2.3338747e+01  1.0301943e-01],20.0000,4.0000,[119.23901     -4.591798     0.23752928],20.0000,4.0000
40,[42.614994   7.0712686  6.078434 ],20.0000,6.0000,[43.225178 19.602125  6.173159],20.0000,6.0000,[ 42.44906   -12.4581785   0.3441742],20.0000,0.0000,[43.147343 42.558815  6.077952],20.0000,6.0000,[ 41.25426   -27.264132    0.2838511],20.0000,0.0000,[189.99081  -48.539124   5.287119],20.0000,4.0000,[ 1.19881325e+02 -2.32487850e+01  1.07942358e-01],20.0000,4.0000,[119.79436    -4.426067    0.2428753],20.0000,4.0000
41,[43.69802    6.9180675  6.1726093],20.0000,6.0000,[44.31124   19.492336   6.2591987],20.0000,6.0000,[ 43.493645   -12.137434     0.06543595],20.0000,6.0000,[4.422357e+01 4.237280e+01 2.430099e-02],20.0000,0.0000,[ 42.303154  -26.961922    6.2811494],20.0000,6.0000,[190.30542  -49.02489    5.287119],20.0000,4.0000,[ 1.20453712e+02 -2.31588535e+01  1.12307265e-01],20.0000,4.0000,[120.34951     -4.2602115    0.24737689],20.0000,4.0000
42,[44.787018    6.834611    0.11896347],20.0000,0.0000,[45.402153   19.452457    0.19175214],20.0000,0.0000,[ 44.5822     -12.055933     0.15148233],20.0000,6.0000,[45.31489  42.39573   6.021617],20.0000,6.0000,[ 43.394814   -26.910166     0.08926266],20.0000,6.0000,[190.62003  -49.51066    5.287119],20.0000,4.0000,[ 1.21025986e+02 -2.30688934e+01  1.16075218e-01],20.0000,4.0000,[120.90452    -4.0942717   0.2511642],20.0000,4.0000
43,[45.87128    6.9605985  6.1162825],20.0000,6.0000,[46.482777  19.613726   6.1801753],20.0000,6.0000,[ 45.66332    -11.904744     0.36722463],20.0000,0.0000,[46.38328  42.16563   6.112922],20.0000,6.0000,[ 44.479843  -26.788525    0.3134879],20.0000,0.0000,[190.93465  -49.996426   5.287119],20.0000,4.0000,[ 1.2159816e+02 -2.2978912e+01  1.1930643e-01],20.0000,4.0000,[121.459435    -3.9282951    0.25437126],20.0000,4.0000
