step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_blue1,health_blue1,action_blue1
75,[-30.042145  -18.51811     0.6565484],20.0000,6.0000,[-40.90921   -43.576427    3.7924602],20.0000,6.0000,[-17.111212  -37.99658     5.4609346],20.0000,3.0000,[-40.025055  -59.52199     4.7159963],20.0000,4.0000
76,[-29.065483  -17.997234    0.8333453],20.0000,6.0000,[-41.745483 -44.27995    4.070164],20.0000,6.0000,[-16.287624  -38.721375    5.3400803],20.0000,3.0000,[-40.010742 -60.100693   4.71706 ],20.0000,4.0000
77,[-28.195683  -17.31268     1.0101229],20.0000,0.0000,[-42.415066  -45.142235    4.3514867],20.0000,6.0000,[-15.548459 -39.533665   5.230299],20.0000,3.0000,[-39.99653   -60.679382    4.7180257],20.0000,4.0000
78,[-27.474947  -16.476337    0.6363688],20.0000,3.0000,[-42.88183  -46.13278    4.624585],20.0000,3.0000,[-14.897995 -40.41935    5.129303],20.0000,3.0000,[-39.982403  -61.25806     4.7189064],20.0000,4.0000
79,[-26.57463    -15.857998     0.37061983],20.0000,3.0000,[-43.110245  -47.208443    4.6049566],20.0000,3.0000,[-14.338423 -41.365337   5.033952],20.0000,3.0000,[-39.96837   -61.83673     4.7197113],20.0000,4.0000
80,[-25.566904   -15.437648     0.18758826],20.0000,0.0000,[-43.32911   -48.282722    4.4690022],20.0000,3.0000,[-13.87138  -42.36028    4.941476],20.0000,3.0000,[-39.954426  -62.41539     4.7204504],20.0000,4.0000
81,[-24.508667  -15.1594515   6.042455 ],20.0000,3.0000,[-43.646294 -49.328663   4.305328],20.0000,3.0000,[-13.498753 -43.394226   4.850024],20.0000,3.0000,[-39.940567 -62.994045   4.72113 ],20.0000,4.0000
82,[-23.40781   -15.253572    5.8402715],20.0000,3.0000,[-44.090275  -50.325928    4.1482253],20.0000,3.0000,[-13.222697 -44.457966   4.758642],20.0000,3.0000,[-39.926792 -63.572697   4.721757],20.0000,4.0000
83,[-22.344746  -15.559396    5.7390385],20.0000,3.0000,[-44.653946 -51.260983   4.000371],20.0000,3.0000,[-13.045285  -45.542473    4.6669827],20.0000,3.0000,[-39.9131   -64.151344   4.722337],20.0000,4.0000
84,[-21.327265  -15.986346    5.6752114],20.0000,3.0000,[-45.32457   -52.12406     3.8578842],20.0000,3.0000,[-12.968114  -46.63866     4.5750155],20.0000,3.0000,[-39.899487 -64.72999    4.722874],20.0000,4.0000
85,[-20.349537  -16.492342    5.6124897],20.0000,3.0000,[-46.092896  -52.903915    3.7228203],20.0000,6.0000,[-12.992029 -47.73729    4.482828],20.0000,3.0000,[-39.885952 -65.308624   4.723373],20.0000,4.0000
86,[-19.412706 -17.067774   5.539229],20.0000,3.0000,[-46.952744  -53.583096    3.8733625],20.0000,6.0000,[-13.116994 -48.829044   4.390519],20.0000,3.0000,[-39.87249   -65.88726     4.7238374],20.0000,4.0000
87,[-18.524242  -17.714294    5.4559135],20.0000,3.0000,[-47.735172 -54.3455     4.130821],20.0000,6.0000,[-13.342049  -49.90464     4.2981606],20.0000,3.0000,[-39.859097 -66.46589    4.72427 ],20.0000,4.0000
88,[-17.69387   -18.433619    5.3662734],20.0000,3.0000,[-48.35315   -55.24554     4.4047227],20.0000,6.0000,[-13.665324 -50.954906   4.205793],20.0000,3.0000,[-39.845776 -67.044525   4.724674],20.0000,4.0000
89,[-16.931063  -19.224264    5.2736306],20.0000,3.0000,[-48.766804  -56.259438    4.6756635],20.0000,6.0000,[-14.08408   -51.970882    4.1134324],20.0000,3.0000,[-39.832523 -67.62315    4.725052],20.0000,4.0000
90,[-16.244009 -20.081673   5.180058],20.0000,3.0000,[-48.948593 -57.345047   4.930654],20.0000,3.0000,[-14.594746  -52.943913    4.0210824],20.0000,3.0000,[-39.819332 -68.20178    4.725406],20.0000,5.0000
91,[-15.6394205 -20.999193    5.086551 ],20.0000,3.0000,[-48.876133 -58.447056   4.881116],20.0000,3.0000,[-15.192964  -53.865707    3.9287412],20.0000,3.0000,[-39.809174 -68.78045    4.817497],20.0000,4.0000
92,[-15.122685 -21.968979   4.993433],20.0000,3.0000,[-48.809086  -59.54291     4.7130136],20.0000,3.0000,[-15.873631 -54.728413   3.836405],20.0000,3.0000,[-39.764565  -69.3577      4.8514113],20.0000,4.0000
93,[-14.698121 -22.982542   4.900692],20.0000,3.0000,[-48.86789   -60.634502    4.5317693],20.0000,3.0000,[-16.630945 -55.52468    3.744071],20.0000,3.0000,[-39.706326  -69.93394     4.8634667],20.0000,4.0000
94,[-14.369154  -24.031048    4.8082075],20.0000,3.0000,[-49.0757    -61.706158    4.3682065],20.0000,3.0000,[-17.45845   -56.24773     3.6517377],20.0000,3.0000,[-39.64233   -70.50961     4.8666987],20.0000,4.0000
95,[-14.138416 -25.105455   4.715858],20.0000,3.0000,[-49.41953   -62.74247     4.2183986],20.0000,3.0000,[-18.3491    -56.891403    3.5594041],20.0000,3.0000,[-39.57586  -71.08498    4.866406],20.0000,5.0000
96,[-14.007764 -26.196562   4.623559],20.0000,3.0000,[-49.885307  -63.731407    4.0755677],20.0000,3.0000,[-19.295301  -57.45021     3.4670703],20.0000,3.0000,[-39.511242 -71.66063    4.956572],20.0000,4.0000
97,[-13.978259 -27.295063   4.531266],20.0000,3.0000,[-50.465263  -64.66013     3.9410195],20.0000,6.0000,[-20.288998  -57.9194      3.3747363],20.0000,3.0000,[-39.411533 -72.23223    4.988019],20.0000,4.0000
98,[-14.050138 -28.391605   4.438962],20.0000,3.0000,[-51.156513 -65.51049    4.092507],20.0000,6.0000,[-21.321722  -58.294964    3.2824018],20.0000,3.0000,[-39.296925  -72.80126     4.9958386],20.0000,4.0000
99,[-14.222794 -29.47685    4.346645],20.0000,3.0000,[-51.753666  -66.42535     4.3509345],20.0000,6.0000,[-22.384674  -58.57371     3.1900673],20.0000,3.0000,[-39.176003  -73.36884     4.9941273],20.0000,4.0000
100,[-14.494762  -30.541557    4.2543178],20.0000,3.0000,[-52.15963   -67.43882     4.6253185],20.0000,6.0000,[-23.468801 -58.75326    3.097733],20.0000,6.0000,[-39.052628 -73.93564    4.989087],20.0000,4.0000
101,[-14.863735 -31.576654   4.161985],20.0000,3.0000,[-52.340946  -68.5187      4.8964534],20.0000,6.0000,[-24.564474  -58.82318     3.2806745],20.0000,6.0000,[-38.928467  -74.502014    4.9833727],20.0000,4.0000
102,[-15.326574  -32.573322    4.0696497],20.0000,3.0000,[-52.28027  -69.617714   5.151658],20.0000,3.0000,[-25.638136 -59.027008   3.558378],20.0000,6.0000,[-38.804173 -75.068146   4.978013],20.0000,4.0000
103,[-15.879337  -33.52307     3.9773138],20.0000,3.0000,[-51.96787   -70.67697     5.1023517],20.0000,3.0000,[-26.644218 -59.45089    3.8397  ],20.0000,6.0000,[-38.679955  -75.63414     4.9733133],20.0000,4.0000
104,[-16.517317  -34.417805    3.8849783],20.0000,3.0000,[-51.66195  -71.73139    4.934437],20.0000,3.0000,[-27.53628  -60.085922   4.112798],20.0000,6.0000,[-38.555847 -76.20003    4.969289],20.0000,5.0000
105,[-17.235077 -35.249905   3.792643],20.0000,3.0000,[-51.4796   -72.80925    4.753271],20.0000,3.0000,[-28.269585  -60.906868    4.3684444],20.0000,6.0000,[-38.434696 -76.76659    5.057619],20.0000,4.0000
106,[-18.0265    -36.01228     3.7003083],20.0000,3.0000,[-51.446926  -73.900375    4.5897284],20.0000,3.0000,[-28.804453 -61.87475    4.594177],20.0000,6.0000,[-38.279465 -77.3258     5.088151],20.0000,4.0000
107,[-18.884848  -36.698433    3.6079738],20.0000,3.0000,[-51.554695 -74.98691    4.439924],20.0000,3.0000,[-29.123178 -62.93612    4.789714],20.0000,6.0000,[-38.109787  -77.88101     5.0953135],20.0000,4.0000
108,[-19.802805  -37.302525    3.5156393],20.0000,6.0000,[-51.791836 -76.05401    4.29709 ],20.0000,6.0000,[-29.23035   -64.039246    4.9663897],20.0000,6.0000,[-37.93405  -78.43416    5.093092],20.0000,4.0000
109,[-20.775808  -37.8111      3.6985807],20.0000,6.0000,[-52.161747 -77.083855   4.437809],20.0000,6.0000,[-29.138159  -65.14305     5.1368847],20.0000,6.0000,[-37.756023 -78.98629    5.087661],20.0000,4.0000
110,[-21.67435   -38.433132    3.9762845],20.0000,6.0000,[-52.426514 -78.14331    4.685343],20.0000,6.0000,[-28.856802  -66.21375     5.3084245],20.0000,6.0000,[-37.577312  -79.537926    5.0816565],20.0000,4.0000
